"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENKD1",253.289328684808,-3.21092694623257,0.799906386970593,-4.01412840119079,5.96658615180248e-05,0.000715892950510678,"ENKD1"
"ENO2",196.874112383694,-3.10271350048128,0.671682813094548,-4.61931352119402,3.85011725814096e-06,7.40284358824229e-05,"ENO2"
"ENO4",29.3381449106562,3.24970004283137,1.13743466968147,2.85704324780378,0.004276075709487,0.0214418761175441,"ENO4"
"ENPP2",1133.66783431286,1.99864354060813,0.427626079721287,4.67381115275005,2.95661214163473e-06,5.88342210499549e-05,"ENPP2"
"ENPP7P12",33.8503565447552,2.67723702162974,1.0143800133871,2.63928408120959,0.00830813284064403,0.0358795453128874,"ENPP7P12"
"ENTPD1",3626.8725848176,1.3426461539088,0.334417629885428,4.01487850496635,5.94764244531841e-05,0.000714445000948244,"ENTPD1"
"ENTPD4",1386.57143590461,1.81189995998539,0.47952730265975,3.77851261009643,0.000157767864726011,0.00157019059259074,"ENTPD4"
"ENTPD7",561.167600604913,2.02743548454258,0.439547646193351,4.61254997518684,3.97758868913761e-06,7.61124192636419e-05,"ENTPD7"
"EOGT",691.578054782617,1.75715730527412,0.432446955980788,4.06328979999152,4.83858951994751e-05,0.000602978977738959,"EOGT"
"EPB41",1506.84950968535,1.22279341161169,0.476809800395364,2.56453078480721,0.0103315413858528,0.042386955492288,"EPB41"
"EPB41L1",1661.7806604537,-1.52739627714333,0.400504981014129,-3.81367610778714,0.000136914881083757,0.00140106965148361,"EPB41L1"
"EPB41L3",3498.12923139636,1.27045563448703,0.403972362936419,3.14490730319338,0.00166139463114645,0.0102128143072042,"EPB41L3"
"EPB42",10.4260567733476,6.27374038721316,2.13936815269079,2.93252023001388,0.00336223017018678,0.0177025369324938,"EPB42"
"EPC1",1147.66694624838,1.23883523534768,0.389559287142879,3.18009421475634,0.00147227176716891,0.00932813052608229,"EPC1"
"EPC2",927.84445834331,0.77008506126713,0.299769723122723,2.56892208207386,0.0102015392587642,0.0419226074362118,"EPC2"
"EPG5",1699.16786113805,1.24907611233486,0.442359094285932,2.82367001937906,0.00474772373808183,0.0231193772659997,"EPG5"
"EPHA6",347.063741457651,-2.2121813212297,0.496155879108191,-4.45864175832393,8.24806400822075e-06,0.000141408553963812,"EPHA6"
"EPM2AIP1",885.380239641033,1.36267321895752,0.350146353828249,3.89172471470579,9.95341419746885e-05,0.00108456338954805,"EPM2AIP1"
"EPN1",1526.59081948259,-1.37957611104009,0.354986419560436,-3.88627855890475,0.000101792695371836,0.00110366751115771,"EPN1"
"EPN3",11.1867600902761,2.45748627685739,0.920879036419144,2.66863092726421,0.0076161088383872,0.0334947517337133,"EPN3"
