"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CYP19A1",23.2846777591239,0.127374242624315,1.30541246285296,0.0975739440589839,NA,NA
"CYP1A1",1.66273259150516,-1.72206523227884,3.34962582010319,-0.514106746474086,0.607177360871091,NA
"CYP24A1",1.45013583859365,-1.55514894708829,2.44211262303973,-0.63680476175279,0.524252024044708,NA
"CYP26A1",1.59804986454027,0.0247336032299367,3.35596138437596,0.00737005000864631,0.994119604120673,NA
"CYP26C1",2.41374184969076,-1.8495029558205,2.53498000063044,-0.729592720794853,0.465639172984178,NA
"CYP27B1",1.3439059850506,2.05171803805059,3.38390790067756,0.606316158202702,0.544304830893019,NA
"CYP2A7",8.72747715092829,-1.15190253670767,1.99158646163618,-0.578384398014701,NA,NA
"CYP2A7P2",0.509467409566199,-3.2255975634256,3.48714324370242,-0.924997150389747,0.354967389723877,NA
"CYP2AB1P",0.917697156626762,0.617088378523001,3.40357204096188,0.181306101676816,0.856127316955234,NA
"CYP2J2",1.90551268996641,2.3028555519716,2.27366066073899,1.01284047867685,0.311136362535352,NA
"CYP3A51P",1.46761560996201,0.392698938218326,3.36339502433402,0.116756710222012,0.907052849283258,NA
"CYP46A4P",0.611360891479439,-3.43321546171424,3.47783318974595,-0.987170825741941,0.323558901356031,NA
"CYP4A11",90.4979530487627,2.21203106145779,1.45805628397142,1.51710951475256,NA,NA
"CYP4A26P",0.915424018908834,2.76984024461137,3.40882438971643,0.812549996112232,0.41647611072183,NA
"CYP4A27P",0.741096674638654,2.47142039297173,3.41666355778383,0.72334321222274,0.469469050635518,NA
"CYP4A43P",1.08706602245424,3.01340416193356,3.403454801213,0.885395675259028,0.37594326411079,NA
"CYP4B1",322.605333508817,4.13173782724877,1.85642917418435,2.2256371989328,NA,NA
"CYP4F22",1.74940621224326,-2.41351830238742,2.8100755088491,-0.858880231078168,0.390406597174737,NA
"CYP4X1",83.654943115381,1.18257679006938,1.19848324713729,0.986727843625763,NA,NA
"CYP4Z1",66.1944299596445,2.3353835174335,2.23170705965549,1.04645612305139,NA,NA
"CYP4Z2P",66.7737209010262,4.53305782251608,2.65711988847825,1.70600425000476,NA,NA
"CYP51A1P2",2.44374711919122,-1.29438974421024,3.2110137039179,-0.403109380265458,NA,NA
"CYP51A1P3",28.6464458245292,0.692741649842363,1.63073573307355,0.424803133820285,NA,NA
"CYTH1P1",0.880907503383673,-1.80998793406446,3.40894122282898,-0.530953107065427,0.595451274858814,NA
"DAOA",1.54819177090454,-0.00510724024862491,2.28248007254767,-0.00223758371871536,0.998214667987128,NA
"DAP3P1",1.73456919636408,3.12752584003887,2.59334781564829,1.20598009305476,0.22782516622105,NA
"DAP3P2",0.664997026153617,1.68646725365058,3.41553120167275,0.493764265079657,0.621472673076931,NA
"DBF4P1",1.64544565702165,-4.74256856051565,3.42240624704213,-1.38574097233913,0.165826012359898,NA
